Ref,Qty,Value,Footprint,MPN,Designators
C1,2,100uF_25V,Capacitor_SMD:CP_Elec_6.3x5.4,EEE-FK1E101P,"C1,C_VM"
C2,1,47uF_10V,Capacitor_SMD:CP_Elec_5x5.4,EEE-FK1C470P,"C2"
C3,10,100nF,Capacitor_SMD:C_0805_2012Metric,CL21B104KBCNNNC,"C3,C5,C6,C11,C12,C13,C14,C15,C_EN,C_INA"
C4,1,10uF,Capacitor_SMD:C_0805_2012Metric,GRM21BR61C106KE15L,"C4"
C7,1,3p3_NP0,Capacitor_SMD:C_0805_2012Metric,08055A3R3CAT2A,"C7"
C8,1,100pF_NP0,Capacitor_SMD:C_0805_2012Metric,CL21C101JBANNNC,"C8"
C9,2,1nF,Capacitor_SMD:C_0805_2012Metric,CL21B102KBANNNC,"C9,C10"
D1,1,SMBJ13A,Diode_SMD:D_SMB,SMBJ13A-E3/52,"D1"
D2,2,BAT46,Diode_SMD:D_SOD-323,BAT46WS,"D2,D3"
F1,1,3A_PTC,Fuse:Fuse_1812_4532Metric,1812L300/24SLER,"F1"
J1,3,12V_IN / RF_IN_SO239 / RF_OUT_SO239,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,61300211121,"J1,J3,J4"
J2,1,RADIO_UNIVERSAL,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,61300611121,"J2"
J6,3,ANT_CTRL / DEBUG_UART / SSD1306,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,61300411121,"J6,J8,J_OLED"
J_TUNE,1,JOG_ROCKER,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,61300311121,"J_TUNE"
Q1,2,MMBT3904,Package_TO_SOT_SMD:SOT-23,MMBT3904LT1G,"Q1,Q2"
R3,1,150R,Resistor_SMD:R_0805_2012Metric,RC0805FR-07150RL,"R3"
R4,3,1k,Resistor_SMD:R_0805_2012Metric,RC0805FR-071KL,"R4,R_SA,R_SB"
R5,6,4.7k,Resistor_SMD:R_0805_2012Metric,RC0805FR-074K7L,"R5,R6,R12,R13,R_CIV1,R_CIV3"
R7,9,10k,Resistor_SMD:R_0805_2012Metric,RC0805FR-0710KL,"R7,R8,R_CIV2,R_EN,R_IO12,R_SA_PU,R_SB_PD,R_TD,R_TU"
R_SH,1,0R05_1W,Resistor_SMD:R_2512_6332Metric,WSL2512R0500FEA,"R_SH"
SW1,2,PARK / TUNE,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,PTS645VL58-2LFS,"SW1,SW2"
T1,1,FT37-43_1:30,Tuner:CT_FT37_43_Toroid,5943000201,"T1"
U1,1,OKI78SR_3V3,Tuner:REG_OKI78SR,OKI-78SR-3.3/1.5-W36-C,"U1"
U2,1,ESP32-WROOM-32E,Tuner:ESP32_DevKit_30,ESP32 DevKit V1 30-pin (DOIT/NodeMCU-32S),"U2"
U3,1,MAX3232,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,MAX3232ESE+,"U3"
U4,1,DRV8871_CARRIER,Tuner:DRV8871_CARRIER,POLOLU-2990,"U4"
U6,1,INA180A1,Package_TO_SOT_SMD:SOT-23-5,INA180A1IDBVR,"U6"
P_RF_MINIUHF,2,RF_BULKHEAD_MINI_UHF_PANEL_F,Panel_Mount:Offboard,Amphenol RF 172147,"PANEL_RF_IN,PANEL_RF_OUT"
